"","Temp","Measures","Residential","Retail","Work","Vac"
"Andalucía",-0.622,-0.261,-0.333,0.198,-0.021,0.163
"Aragón",-0.605,-0.315,-0.074,0.161,0.115,0.03
"Canarias",-0.74,-0.169,0.173,0.418,-0.207,0.042
"Cantabria",-0.556,-0.13,-0.522,-0.08,0.3,-0.017
"Castilla y León",-0.726,-0.384,-0.48,0.123,0.354,0.018
"Castilla-La Mancha",-0.433,-0.227,-0.403,0.08,-0.044,0.127
"Cataluña",-0.643,-0.261,-0.113,0.256,-0.122,-0.036
"Comunidad de Madrid",-0.557,-0.271,0.515,0.245,-0.114,0.141
"Comunidad Foral de Navarra",-0.74,-0.41,-0.137,0.18,0.158,0.04
"Comunitat Valenciana",-0.646,-0.18,-0.41,0.325,-0.017,-0.085
"Extremadura",-0.471,-0.15,-0.24,0.037,0.168,0.032
"Galicia",-0.623,-0.244,-0.376,0.139,0.145,0.046
"Illes Balears",-0.591,-0.097,-0.661,-0.08,0.26,-0.225
"La Rioja",-0.629,-0.324,-0.183,0.125,0.199,0.221
"País Vasco",-0.623,-0.326,0.156,0.163,0.136,0.181
"Principado de Asturias",-0.741,-0.311,-0.451,0.204,0.465,0.029
"Región de Murcia",-0.51,-0.19,-0.058,0.232,0.007,0.062
